epoch,train_l1,val_l1
1,0.158455658796405,0.12329049548134208
2,0.1329804185018477,0.12405832391232252
3,0.12998823840017162,0.11765398477603282
4,0.12796042002634897,0.11823956169454115
5,0.12597924891664306,0.11840788833796978
6,0.12471932909623322,0.12597801629453897
7,0.12385898506776853,0.12105312185095889
8,0.12309438596702804,0.11797984449991158
9,0.12240762577569189,0.1187243867399437
10,0.12174972828693134,0.11908028900091137
11,0.12160939786880798,0.1199089684523642
12,0.12152422368834334,0.11774470317842704
13,0.12114851032550505,0.11876104313081928
14,0.12062648270720457,0.12160207703709602
15,0.12091737723917015,0.12110895836459738
16,0.12039537118752962,0.12122210361329573
17,0.12044233800048014,0.12015709560364485
18,0.12034561348560756,0.12025199897055115
19,0.11983076093035953,0.12331889882417661
20,0.11989046663004833,0.12146703792469841
21,0.11967984295498899,0.12127317368452038
22,0.11956566766150727,0.12238441647163459
23,0.11930978716897571,0.12102985634867634
24,0.11923668867608239,0.1227758711736117
25,0.11899744922977669,0.122028185320752
26,0.11891647403900699,0.12086789695812124
27,0.11901702878088498,0.12341555607106004
28,0.11875550943034247,0.12150969382907663
29,0.11872675062026367,0.1208712104042726
30,0.11849625445081347,0.12269681665514197
31,0.11834371149457848,0.12104021085958395
32,0.11862517746560501,0.12247746896796993
33,0.11787380332501796,0.12234619938369308
34,0.11810769424478705,0.12385587181363787
35,0.11779853475816322,0.121526078853224
36,0.11772573810614666,0.12223461809168969
37,0.11779802339792908,0.12359478151691812
38,0.1175588564613716,0.12225400004535913
39,0.11754938845135292,0.12638386857828923
40,0.11748816729228194,0.12080879509449005
41,0.11794487400796295,0.12321209947445563
42,0.11733826714216349,0.12478083106023925
43,0.1176350682758349,0.12546346482953855
44,0.11727343641283099,0.12527970370969602
45,0.1174078493663841,0.12208721041679382
46,0.11707142003126873,0.12398002868784326
47,0.11726679661652438,0.12423076454017844
48,0.11747373719558571,0.12518160457589797
49,0.11736434338917089,0.12466396943532995
50,0.11723041773540258,0.12651821917721204
