Epoch,Train_L1,Val_L1,PSNR,SSIM,LPIPS,FID,KID_Mean,KID_Std
1,0.181979,0.074359,24.826115,0.674755,14.868542,150.380203,0.178037,0.016627
2,0.152019,0.076058,24.669519,0.671682,14.109916,160.218002,0.196704,0.018668
3,0.148073,0.081370,24.066307,0.662906,13.953634,141.753174,0.173858,0.024657
4,0.145999,0.070441,25.128620,0.681478,13.798967,123.516899,0.148814,0.020697
5,0.144306,0.079857,24.019211,0.651585,14.060662,110.760498,0.127824,0.018444
6,0.142781,0.077741,24.063448,0.673768,13.846366,109.869431,0.128509,0.019841
7,0.142745,0.071965,24.826689,0.689573,13.577686,98.288895,0.122956,0.023416
8,0.142086,0.070545,25.069626,0.691570,13.763970,83.731400,0.094035,0.016699
9,0.141446,0.074536,24.649925,0.674546,13.935946,69.325073,0.071076,0.012252
10,0.140815,0.075866,24.583975,0.672886,13.866359,50.670307,0.048346,0.010308
11,0.140689,0.079536,24.182667,0.670420,13.981306,64.446060,0.060555,0.009851
12,0.140330,0.076633,24.471052,0.681211,14.255978,57.154800,0.062014,0.014678
13,0.139561,0.076776,24.041958,0.671742,14.100818,54.540794,0.056038,0.010128
14,0.139266,0.117770,20.123764,0.614923,16.051731,54.942497,0.043562,0.009694
15,0.139103,0.081843,23.789324,0.642518,14.628005,53.763741,0.052927,0.009070
16,0.138535,0.078011,24.070156,0.660489,13.974819,56.504307,0.054382,0.009164
17,0.138294,0.086342,22.509691,0.640148,14.463447,56.182495,0.055028,0.010956
18,0.137725,0.078352,24.046452,0.647914,13.988047,55.275314,0.056137,0.010786
19,0.137478,0.076950,24.307482,0.651960,13.724427,65.531639,0.067784,0.010985
20,0.136714,0.085452,23.236975,0.639837,14.545211,69.950157,0.076610,0.014547
21,0.136440,0.077221,24.208258,0.646661,13.654780,63.252613,0.066797,0.010151
22,0.136012,0.078463,23.877106,0.642853,13.514113,59.961746,0.062828,0.011123
23,0.135919,0.084033,23.142809,0.626814,13.810745,70.671288,0.077776,0.012212
24,0.135671,0.079498,23.743147,0.636947,13.495837,82.151466,0.090163,0.013300
25,0.135541,0.084348,23.378555,0.626096,14.035388,63.242447,0.071783,0.013479
26,0.135787,0.084770,23.401281,0.628181,13.962612,72.644089,0.078915,0.012617
27,0.135128,0.089926,23.017286,0.613222,14.302753,75.616737,0.087312,0.015659
28,0.135622,0.095466,22.318171,0.610719,14.485807,72.802734,0.078480,0.013957
29,0.135127,0.084485,23.365805,0.625487,13.950491,78.655975,0.091749,0.012800
30,0.135163,0.078664,23.765152,0.644621,13.461138,77.568810,0.081372,0.012360
31,0.134776,0.082173,23.530628,0.628894,13.842218,77.781372,0.083708,0.010493
32,0.134596,0.088572,22.837242,0.616675,14.001049,77.192757,0.090295,0.013404
33,0.134775,0.082781,23.627489,0.622335,13.677858,80.204689,0.086567,0.015533
34,0.134687,0.083180,23.576784,0.629102,13.494927,73.145920,0.081805,0.012818
35,0.134466,0.083433,23.310184,0.628239,13.870137,80.268288,0.095540,0.014089
36,0.134667,0.093016,22.879061,0.614744,14.206120,82.943878,0.102866,0.015790
37,0.135218,0.081694,23.831602,0.632686,13.800238,73.071312,0.083635,0.014745
38,0.133953,0.088948,22.961142,0.596042,14.072774,71.323151,0.072686,0.011315
39,0.134204,0.086423,23.457647,0.623340,13.840638,70.769775,0.082347,0.013041
40,0.134820,0.084538,22.890038,0.624438,13.749498,82.231369,0.096662,0.014328
41,0.134216,0.083940,23.107065,0.629808,13.650063,64.271271,0.069664,0.012978
42,0.134657,0.088947,22.821455,0.618722,13.966580,72.949966,0.078269,0.012479
43,0.134023,0.091748,22.168699,0.613418,14.149616,67.719589,0.080732,0.014424
44,0.133895,0.085698,22.922552,0.622549,13.949664,79.987144,0.091779,0.016443
45,0.133954,0.084148,23.357769,0.598929,13.617588,65.702988,0.068061,0.010609
46,0.133907,0.084451,23.488165,0.624434,13.658296,65.267914,0.074508,0.014871
47,0.133670,0.093238,21.584272,0.612889,14.187893,83.579178,0.091049,0.014609
48,0.133915,0.084538,23.334087,0.621367,13.760061,75.012733,0.085971,0.012161
49,0.134103,0.087442,23.026367,0.615866,14.032337,70.803009,0.079281,0.013080
50,0.133907,0.079398,23.866589,0.630870,13.137091,64.777328,0.072220,0.011477
test,,0.116272,20.132647,0.529761,15.925784,110.107765,0.120987,0.016877
