epoch,train_l1,val_l1
1,0.15706350231881847,0.07894498192601734
2,0.13380968038585375,0.08116801000303692
3,0.13161912295036018,0.07541703681151073
4,0.12973131945949387,0.07609897272454368
5,0.1284214878878133,0.07753243090377913
6,0.12747706408951093,0.08014759545524915
7,0.12708923692645674,0.083896038432916
8,0.12695919556797228,0.07883511856198311
9,0.1268909099003808,0.07901020555032624
10,0.12665788373401896,0.07480405022700627
11,0.12612940458665517,0.07639968064096239
12,0.12555259174921296,0.07937407948904568
13,0.12571074533784254,0.07567999139428139
14,0.12522461722096936,0.07740964823298985
15,0.12496573367071423,0.07804317813780573
16,0.12496012930588966,0.07579234739144643
17,0.1246739974541759,0.0758090362780624
18,0.12472670347937806,0.08686815740333663
19,0.12365141851742836,0.07864264688558048
20,0.123841064309024,0.07884178186456363
21,0.12361050346358256,0.08068214274115032
22,0.12302808359434658,0.08281823330455357
23,0.12353223155421966,0.07902231108811167
24,0.12291989692656154,0.07839793132411109
25,0.12301901680925353,0.0789440232846472
26,0.12257398735223846,0.08395856867233913
27,0.12238220225765624,0.08133778182996644
28,0.12248156202787702,0.08276753996809323
29,0.12242629627104509,0.08542258168260257
30,0.12217406123791906,0.08034977316856384
31,0.12198474391532893,0.07945808933840857
32,0.12213210895318877,0.07923400112324291
33,0.12199762706983495,0.08359505360325177
34,0.12241540962660855,0.08180592209100723
35,0.12190164413133805,0.0830833071635829
36,0.12174245077185333,0.0817619947095712
37,0.12183087742887437,0.0803246974117226
38,0.12171158817258071,0.08172150949637096
39,0.12125068259510127,0.08071116026904848
40,0.12185332409783521,0.08355858135554525
41,0.1219460700172931,0.08383145348893271
42,0.12155108002268455,0.08303439575764868
43,0.12139683605425737,0.08276378239194553
44,0.12131195987828754,0.08387138984269565
45,0.1215210729024627,0.08443445712327957
46,0.12095283614471555,0.08339906939201885
47,0.12093380275605754,0.08398183724946445
48,0.12088127351704646,0.08631540627943145
49,0.12116479809311304,0.08548141063915358
50,0.12118279038166457,0.0800532197786702
