Epoch,Train_L1,Val_L1,PSNR,SSIM,LPIPS,FID,KID_Mean,KID_Std
1,0.460105,0.490755,10.702149,0.157818,41.818052,333.550690,0.396392,0.019382
2,0.430827,0.533241,10.060961,0.165908,41.456588,373.122070,0.460806,0.016802
3,0.422546,0.463840,11.170002,0.165425,43.193759,317.323578,0.367195,0.013020
4,0.418980,0.506260,10.515428,0.157428,45.657310,349.870239,0.426425,0.015339
5,0.413556,0.549830,9.815674,0.139178,43.728978,424.167175,0.560025,0.016126
6,0.409567,0.523547,10.198354,0.170060,41.731536,303.900940,0.346576,0.014172
7,0.406885,0.520325,10.230224,0.165013,43.077908,301.209686,0.335831,0.010936
8,0.405749,0.559212,9.680662,0.152187,45.145855,301.344177,0.332684,0.013604
9,0.403958,0.552636,9.836106,0.171030,41.915990,290.403778,0.309993,0.012956
10,0.401204,0.558112,9.646494,0.143936,41.210649,335.051208,0.390758,0.013597
11,0.397516,0.520199,10.301953,0.180043,45.773440,274.882080,0.284834,0.011197
12,0.394578,0.578927,9.415589,0.120169,38.147958,264.927185,0.276958,0.013566
13,0.392137,0.571775,9.426112,0.109647,43.518525,374.491394,0.450252,0.017580
14,0.390008,0.558764,9.609116,0.140633,41.581299,316.929443,0.357743,0.014741
15,0.388873,0.535441,10.012821,0.158282,42.773003,291.435760,0.326118,0.011691
16,0.381297,0.573881,9.558042,0.178311,42.892059,276.958618,0.292158,0.011821
17,0.381117,0.596360,9.202260,0.166028,46.739423,325.397766,0.364305,0.016637
18,0.378915,0.545670,9.895994,0.164697,45.240014,333.175659,0.377200,0.012264
19,0.375948,0.590965,9.196660,0.120067,42.488476,400.956299,0.523710,0.020116
20,0.370962,0.568304,9.556920,0.173278,42.048092,292.722931,0.304802,0.013495
21,0.370411,0.575775,9.497892,0.179870,43.316092,281.625946,0.294473,0.012326
22,0.366604,0.561513,9.668883,0.175667,45.133527,303.267609,0.327918,0.012246
23,0.366076,0.490460,10.552333,0.172363,42.601016,287.656250,0.276878,0.011358
24,0.360996,0.604979,9.070266,0.171879,43.734784,288.655853,0.291702,0.012731
25,0.359640,0.573874,9.426764,0.178768,45.637140,289.554260,0.306052,0.013578
26,0.354552,0.602366,9.111936,0.164513,44.355732,298.751648,0.328288,0.010135
27,0.349016,0.654369,8.464237,0.141930,41.086953,296.998322,0.340285,0.011731
28,0.348868,0.557230,9.620226,0.167679,41.870402,282.889282,0.305695,0.012628
29,0.345958,0.622432,8.829875,0.164362,44.252872,293.669281,0.297260,0.011156
30,0.345183,0.604608,8.977955,0.142543,41.064613,308.911285,0.332020,0.014513
31,0.343570,0.615554,8.937324,0.158983,44.895189,354.833588,0.410504,0.016407
32,0.340649,0.624500,8.798785,0.157655,42.392497,310.437653,0.356192,0.013253
33,0.340747,0.595478,9.166182,0.168882,40.024730,305.505280,0.343506,0.015582
34,0.338468,0.571871,9.512268,0.180655,41.783669,284.021088,0.302600,0.012097
35,0.334311,0.526816,9.963528,0.172725,45.909776,325.268158,0.349819,0.013670
36,0.333765,0.558559,9.533013,0.165890,42.655087,287.474823,0.313374,0.014101
37,0.331726,0.651070,8.512468,0.173239,46.143913,321.286224,0.349561,0.014049
38,0.328522,0.572796,9.402338,0.179541,47.065592,298.293640,0.300682,0.011303
39,0.332414,0.584197,9.268406,0.157892,42.708010,286.366943,0.312819,0.011494
40,0.326586,0.618934,8.831773,0.115406,42.173620,449.235077,0.619021,0.019161
41,0.326239,0.596666,9.171080,0.166867,42.855238,299.250000,0.318420,0.013395
42,0.325122,0.600318,9.089449,0.149675,43.547719,347.471039,0.408508,0.015240
43,0.325008,0.605653,9.060357,0.166249,44.119773,296.361816,0.305591,0.010677
44,0.324857,0.567614,9.459740,0.156221,44.101058,313.955048,0.348073,0.015057
45,0.320392,0.600471,9.055301,0.173272,46.765381,327.838043,0.373746,0.013411
46,0.321271,0.602358,9.069057,0.163261,41.560139,293.888489,0.303476,0.012215
47,0.321911,0.632063,8.733959,0.164380,41.515751,299.230896,0.338934,0.012591
48,0.320004,0.639405,8.556113,0.096076,42.134097,380.255951,0.479510,0.016110
49,0.318389,0.556179,9.636244,0.177480,44.573233,310.566040,0.328150,0.012170
50,0.315091,0.604959,8.996813,0.169509,45.711518,321.915527,0.363294,0.013756
test,,0.502084,10.567901,0.185069,44.882280,330.516479,0.336494,0.014593
