Epoch,Train_L1,Val_L1,PSNR,SSIM,LPIPS,FID,KID_Mean,KID_Std
1,0.474391,0.391952,11.922957,0.227854,47.054143,393.935333,0.406845,0.033225
2,0.438593,0.413795,11.593013,0.242059,48.978448,469.928497,0.595350,0.046519
3,0.425379,0.409803,11.597696,0.215571,47.268312,470.136749,0.581828,0.055999
4,0.416809,0.402056,11.782008,0.247535,45.278120,410.281921,0.479488,0.043622
5,0.410874,0.416888,11.530113,0.240395,41.884645,355.180450,0.382241,0.031144
6,0.409550,0.378989,12.260580,0.209779,38.385785,351.591217,0.364236,0.028201
7,0.408094,0.382781,12.108883,0.211648,41.451864,406.905914,0.443895,0.039760
8,0.405127,0.409691,11.672272,0.225098,40.428652,389.766174,0.443577,0.033626
9,0.404109,0.370890,12.482267,0.233259,39.293104,227.472580,0.197011,0.015318
10,0.401946,0.423446,11.461657,0.214208,38.084314,311.898499,0.312685,0.023992
11,0.399060,0.391446,12.030736,0.214177,40.622913,326.420319,0.345517,0.030694
12,0.396684,0.446762,11.001651,0.215214,39.689673,325.718140,0.340640,0.027977
13,0.394323,0.414389,11.494947,0.230567,40.102648,261.817108,0.247182,0.019162
14,0.393640,0.393741,11.945923,0.225111,40.499878,360.920135,0.399488,0.029939
15,0.391293,0.401393,11.773832,0.205307,42.719410,328.710052,0.365075,0.033810
16,0.389959,0.377158,12.355375,0.237150,39.093705,251.732117,0.239184,0.020416
17,0.384126,0.379430,12.219453,0.197062,40.090789,303.620880,0.294382,0.023466
18,0.378464,0.352481,12.706417,0.236938,38.929197,226.068619,0.196291,0.016122
19,0.376972,0.360936,12.673827,0.235922,36.641721,283.656342,0.285186,0.025421
20,0.374517,0.360382,12.666205,0.237311,36.638127,279.761139,0.258580,0.019910
21,0.370562,0.358717,12.681295,0.260525,37.395081,207.760376,0.163157,0.013600
22,0.367578,0.373972,12.245823,0.173629,40.174670,345.361420,0.371535,0.030998
23,0.362844,0.350703,12.806335,0.248769,36.377709,209.492126,0.166544,0.014994
24,0.359240,0.353105,12.749327,0.192456,38.627163,335.890778,0.367850,0.031076
25,0.353932,0.371869,12.283108,0.204107,41.216718,230.842575,0.207391,0.014798
26,0.350509,0.359689,12.559951,0.187236,38.673146,348.574402,0.368971,0.026789
27,0.348149,0.351436,12.812995,0.265511,37.701021,190.500427,0.139731,0.014882
28,0.347552,0.385254,12.036473,0.223602,39.132042,318.161652,0.324501,0.024794
29,0.341954,0.368147,12.420806,0.241841,37.772304,246.796417,0.219940,0.019258
30,0.343231,0.397953,11.798170,0.260099,38.325918,266.441345,0.244630,0.023803
31,0.335636,0.346471,12.868120,0.263692,38.161825,250.605820,0.226928,0.018853
32,0.335977,0.364771,12.414853,0.194125,49.182083,387.061249,0.430725,0.038296
33,0.333760,0.351480,12.785552,0.268090,38.604930,354.778839,0.401661,0.033747
34,0.330348,0.343220,12.937006,0.281350,39.609513,243.969543,0.220942,0.018449
35,0.329230,0.381973,12.050536,0.227231,38.073664,232.250061,0.216883,0.016790
36,0.329341,0.378890,12.151637,0.236108,36.791882,224.091873,0.198565,0.017168
37,0.327797,0.355348,12.627549,0.222259,38.940901,278.504303,0.272526,0.024934
38,0.325460,0.374692,12.284447,0.249410,37.608415,245.828644,0.214545,0.019906
39,0.326369,0.384109,11.991784,0.157971,47.706798,372.459320,0.394684,0.033247
40,0.323562,0.399176,11.806924,0.262305,39.706571,284.124023,0.284195,0.025181
41,0.322484,0.379360,12.130518,0.232859,37.988564,213.519867,0.180065,0.015279
42,0.320926,0.350667,12.783009,0.266165,38.256034,227.044952,0.188579,0.016070
43,0.318065,0.364965,12.448186,0.262147,37.277707,212.091858,0.173892,0.015458
44,0.318384,0.362340,12.514336,0.250295,38.447468,216.673248,0.175632,0.019269
45,0.319108,0.369570,12.368553,0.268131,38.216869,216.074646,0.184875,0.015773
46,0.315452,0.359245,12.608955,0.272622,38.913590,220.376495,0.188441,0.014322
47,0.315648,0.360554,12.535503,0.249528,37.707627,219.936554,0.185517,0.017214
48,0.313998,0.366528,12.389223,0.261022,38.897400,196.258759,0.159035,0.014715
49,0.312590,0.385296,12.023111,0.190782,39.508584,327.264923,0.323412,0.026008
50,0.314511,0.371797,12.312192,0.248710,37.376025,170.306885,0.117802,0.013300
test,,0.503267,10.348361,0.226270,46.263888,237.581543,0.204123,0.011514
