,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,13.102696562023285,13.933976699358263,13.57260726678945,14.027142859948492,14.739286906127468,14.618643058305274,9.473953622966484,11.38513599600987,12.70753845692774
OPT-QXSLAB,13.102696562023285,0.0,11.957138915046114,11.660984637380796,11.693246172524374,12.238428857645168,12.072788035791623,14.65168045655664,7.836398861413004,7.8058824390642805
HE,13.933976699358263,11.957138915046114,0.0,10.285972108289464,12.790348097904973,12.935116647428135,12.489809218512901,15.637228856882604,10.142587601853924,9.743499073774894
IHC,13.57260726678945,11.660984637380796,10.285972108289464,0.0,13.032093313110837,13.089384969780966,12.735823279121234,14.44381278296214,8.282714830138543,10.22582920542617
CT,14.027142859948492,11.693246172524374,12.790348097904973,13.032093313110837,0.0,5.733121666231021,6.009335253216001,15.681052990774457,11.03388601999064,10.14841447821927
T1,14.739286906127468,12.238428857645168,12.935116647428135,13.089384969780966,5.733121666231021,0.0,2.7454175701096473,16.337217415560232,11.271836441181792,10.378051586479243
T2,14.618643058305274,12.072788035791623,12.489809218512901,12.735823279121234,6.009335253216001,2.7454175701096473,0.0,16.22795060231726,10.976961488375627,10.082183244264344
SAR-SEN12,9.473953622966484,14.65168045655664,15.637228856882604,14.44381278296214,15.681052990774457,16.337217415560232,16.22795060231726,0.0,12.170376888371843,13.744881856208847
OPT-SEN12,11.38513599600987,7.836398861413004,10.142587601853924,8.282714830138543,11.03388601999064,11.271836441181792,10.976961488375627,12.170376888371843,0.0,7.087902455385437
ImageNet-1k,12.70753845692774,7.8058824390642805,9.743499073774894,10.22582920542617,10.14841447821927,10.378051586479243,10.082183244264344,13.744881856208847,7.087902455385437,0.0
