,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,4.821924239590264,3.1468781772614385,2.891514572052232,2.8333812272447454,2.752816616132919,3.4220776508060977,4.231397875786255,3.842049632764111,2.980739832365477
OPT-QXSLAB,4.821924239590264,0.0,4.458442090094929,3.742144182294923,4.284572727657999,4.3664223252272185,4.142694684332144,5.246277359658674,4.794388383687831,4.227708829246187
HE,3.1468781772614385,4.458442090094929,0.0,2.5591536256829275,3.209325710743207,2.841398441367704,2.827011516037706,3.757870473238826,3.218380694632125,3.755200650634688
IHC,2.891514572052232,3.742144182294923,2.5591536256829275,0.0,2.2584563304760064,2.768125873357463,2.485076718236523,4.227918842513457,3.827496702565373,3.2322445362628054
CT,2.8333812272447454,4.284572727657999,3.209325710743207,2.2584563304760064,0.0,2.3089055535190903,2.8182834449110348,3.6822723877122994,3.139681718674745,3.173355414291173
T1,2.752816616132919,4.3664223252272185,2.841398441367704,2.768125873357463,2.3089055535190903,0.0,1.9642854133057057,3.3322102535861116,2.884333386335291,2.806297082335382
T2,3.4220776508060977,4.142694684332144,2.827011516037706,2.485076718236523,2.8182834449110348,1.9642854133057057,0.0,3.314426651533626,3.525575081322694,3.0914628434749996
SAR-SEN12,4.231397875786255,5.246277359658674,3.757870473238826,4.227918842513457,3.6822723877122994,3.3322102535861116,3.314426651533626,0.0,5.124155835689183,3.997001075078763
OPT-SEN12,3.842049632764111,4.794388383687831,3.218380694632125,3.827496702565373,3.139681718674745,2.884333386335291,3.525575081322694,5.124155835689183,0.0,3.074298164913618
ImageNet-1k,2.980739832365477,4.227708829246187,3.755200650634688,3.2322445362628054,3.173355414291173,2.806297082335382,3.0914628434749996,3.997001075078763,3.074298164913618,0.0
