Epoch,Train_L1,Val_L1,PSNR,SSIM,LPIPS,FID,KID_Mean,KID_Std
1,0.453460,0.626863,8.997905,0.143350,56.169696,407.138306,0.424060,0.033183
2,0.434868,0.631483,8.797112,0.147177,55.382506,389.351593,0.401693,0.026662
3,0.428935,0.646569,8.586856,0.141335,59.869012,489.289246,0.599948,0.037198
4,0.423478,0.674142,8.332257,0.161458,55.719679,457.648651,0.567387,0.048224
5,0.420425,0.692423,8.114603,0.137494,54.011367,307.954529,0.282021,0.029229
6,0.417718,0.712700,7.839412,0.140340,56.164984,305.803925,0.316618,0.035165
7,0.414386,0.706499,7.843346,0.123838,56.976780,400.812408,0.466634,0.029521
8,0.410630,0.687675,8.122134,0.119183,59.374372,327.708893,0.332219,0.024235
9,0.408073,0.695465,8.066771,0.121719,58.210666,425.107971,0.485621,0.043154
10,0.405284,0.727883,7.742157,0.118768,56.139539,227.468140,0.196008,0.026598
11,0.405831,0.717363,7.730947,0.137266,54.704360,277.544922,0.253332,0.027226
12,0.402485,0.691715,7.981978,0.172668,51.216887,258.663269,0.213872,0.029409
13,0.398274,0.701423,7.934377,0.157543,53.646516,260.707764,0.233543,0.031218
14,0.395665,0.783586,7.067838,0.107128,58.024762,336.488129,0.363631,0.030044
15,0.392179,0.774347,7.192661,0.132517,54.625800,277.888458,0.253503,0.034421
16,0.389336,0.690767,7.963841,0.158237,53.701640,305.169952,0.301946,0.033817
17,0.384885,0.812346,6.771538,0.112103,53.604012,249.591034,0.219028,0.032904
18,0.380854,0.732217,7.627107,0.140911,54.043434,294.046448,0.278281,0.035069
19,0.374289,0.781749,7.084901,0.160952,54.225563,261.057861,0.252130,0.034460
20,0.370245,0.749552,7.340172,0.109883,54.512020,318.328461,0.323886,0.037662
21,0.365138,0.742219,7.460193,0.152376,54.111900,286.007599,0.257084,0.032738
22,0.360919,0.790780,6.956379,0.121895,55.279832,369.417694,0.410169,0.039425
23,0.362695,0.815296,6.799260,0.140469,54.282003,279.389343,0.252593,0.032003
24,0.354490,0.726890,7.742369,0.161579,54.323325,300.106079,0.297031,0.032773
25,0.354239,0.856093,6.413318,0.136318,58.071226,369.448090,0.419418,0.043384
26,0.351883,0.764805,7.240619,0.162313,52.997513,276.899292,0.257889,0.034688
27,0.347859,0.844322,6.480676,0.145972,55.099903,273.285034,0.253654,0.033278
28,0.344529,0.870957,6.292913,0.160561,54.971785,291.611542,0.281195,0.031687
29,0.342539,0.846272,6.388252,0.103972,58.044680,481.661285,0.616378,0.045919
30,0.340728,0.880417,6.180761,0.140299,56.478416,333.024780,0.333538,0.034599
31,0.337303,0.833102,6.569115,0.160905,54.089161,269.281616,0.242291,0.035645
32,0.336118,0.879679,6.211932,0.081511,61.906520,448.625122,0.547837,0.043860
33,0.335650,0.786857,6.953084,0.136371,54.835947,340.365295,0.361992,0.041153
34,0.333682,0.860691,6.311656,0.089101,60.553106,444.743927,0.526093,0.043511
35,0.332047,0.839202,6.553042,0.156492,54.514524,386.717773,0.446604,0.041420
36,0.330630,0.764487,7.203372,0.155632,54.215595,300.545288,0.303710,0.036632
37,0.326946,0.772702,7.154489,0.168903,54.391995,302.390839,0.301024,0.032939
38,0.324947,0.819275,6.646447,0.162204,55.079661,281.017853,0.260941,0.033107
39,0.325414,0.909961,5.901222,0.133921,56.988367,379.709259,0.450792,0.038168
40,0.324858,0.789060,6.939857,0.154845,52.279531,288.472015,0.273616,0.038449
41,0.324253,0.810788,6.736174,0.149932,54.975932,283.766602,0.260586,0.031245
42,0.323435,0.871217,6.225292,0.134753,57.476893,444.511475,0.566255,0.047299
43,0.321825,0.894780,6.008664,0.127145,55.721670,333.326813,0.350268,0.037348
44,0.319662,0.832283,6.485356,0.124487,56.724510,326.835205,0.321196,0.033226
45,0.319206,0.788190,7.007358,0.165080,51.871018,304.985962,0.302820,0.037905
46,0.319645,0.877048,6.147876,0.152189,57.526067,348.768707,0.378614,0.037022
47,0.317607,0.879138,6.086225,0.149976,54.185321,288.671906,0.265565,0.035679
48,0.319598,0.839991,6.514129,0.144757,52.325987,274.398376,0.246580,0.033848
49,0.316342,0.849987,6.345518,0.140183,53.592337,305.239502,0.294221,0.035876
50,0.314704,0.796851,6.831180,0.175843,53.963948,275.844788,0.261338,0.038871
test,,0.520207,10.331038,0.172196,47.722114,383.071075,0.434427,0.021179
