Epoch,Train_L1,Val_L1,PSNR,SSIM,LPIPS,FID,KID_Mean,KID_Std
1,0.131454,0.309699,11.646550,0.330154,24.463038,204.357056,0.227418,0.028156
2,0.100832,0.311704,11.756665,0.301942,24.235436,203.571609,0.227929,0.024873
3,0.099702,0.304509,11.920260,0.320908,24.473770,157.763809,0.159903,0.018488
4,0.098979,0.306506,11.937107,0.306756,24.615357,150.652786,0.150470,0.019676
5,0.098845,0.302197,12.150419,0.295856,24.156660,152.044800,0.154942,0.019033
6,0.098913,0.300992,12.136433,0.307773,24.032178,137.923218,0.131804,0.020965
7,0.099060,0.299236,12.063488,0.321411,24.442986,141.445633,0.135060,0.018459
8,0.099045,0.311406,11.791603,0.284896,24.221578,152.143799,0.155270,0.024734
9,0.098879,0.301252,11.989566,0.322686,24.051420,150.680756,0.157605,0.026893
10,0.098944,0.313713,11.781235,0.281084,23.710468,160.546555,0.164374,0.022283
11,0.098997,0.305581,12.214003,0.259271,23.662858,160.340729,0.167762,0.016239
12,0.098754,0.305506,11.899254,0.311938,24.288316,158.314407,0.162931,0.025236
13,0.098910,0.301219,11.981929,0.336241,23.484969,173.819504,0.176711,0.019474
14,0.099014,0.298003,12.095104,0.338649,23.708408,164.268509,0.172604,0.021468
15,0.098954,0.312641,11.779919,0.295203,24.012289,166.447678,0.175534,0.022304
16,0.098992,0.311944,11.851894,0.287089,23.770190,175.902222,0.189605,0.023737
17,0.098866,0.311127,11.830373,0.284802,23.817053,173.544128,0.183282,0.025129
18,0.098838,0.308184,11.941107,0.302224,23.696759,165.069778,0.170303,0.025410
19,0.098614,0.315043,11.957829,0.257801,24.116673,168.361298,0.173063,0.020276
20,0.098418,0.323890,11.750565,0.236757,24.062440,170.533661,0.178759,0.022434
21,0.098256,0.309527,11.803568,0.323966,24.084360,176.430161,0.179839,0.020695
22,0.098299,0.307196,11.995053,0.301844,23.706025,172.363358,0.181156,0.020953
23,0.098198,0.319099,11.788341,0.268047,23.802506,170.225433,0.178130,0.020030
24,0.098148,0.310805,11.942751,0.284182,24.104773,171.825546,0.179643,0.023846
25,0.098046,0.310795,12.027232,0.277197,23.719835,165.843903,0.173257,0.017916
26,0.097827,0.314744,11.803192,0.288333,23.629289,174.344757,0.176842,0.018447
27,0.097848,0.313921,11.942762,0.267226,23.685909,169.457764,0.175364,0.024115
28,0.097854,0.314907,11.902786,0.269963,23.972374,170.488663,0.172622,0.020716
29,0.097707,0.309526,12.083592,0.291850,23.959880,160.210938,0.160693,0.018042
30,0.097652,0.313895,11.868808,0.272413,23.433759,177.701813,0.189152,0.022212
31,0.097435,0.311436,11.937187,0.280412,23.514757,170.699814,0.175090,0.023910
32,0.097529,0.307827,12.097037,0.295016,23.521346,160.150238,0.159351,0.018714
33,0.097469,0.318979,11.859965,0.248968,23.628306,174.184433,0.181106,0.020642
34,0.097305,0.320867,11.672059,0.269142,23.646439,177.542419,0.183719,0.020990
35,0.097283,0.319500,11.815994,0.268678,23.793982,170.862579,0.170538,0.022913
36,0.097215,0.310341,11.945345,0.294180,23.554881,168.350388,0.168686,0.021775
37,0.097420,0.305583,12.080743,0.308557,23.260678,164.389252,0.163426,0.022666
38,0.097206,0.307458,12.090354,0.297925,23.594063,156.236359,0.150772,0.022886
39,0.097167,0.308097,11.993789,0.294833,23.463867,168.133911,0.170146,0.023094
40,0.097209,0.315392,11.764850,0.286004,23.479314,176.593445,0.182524,0.022110
41,0.097158,0.307674,12.004929,0.302825,23.442461,168.496078,0.172336,0.020495
42,0.097079,0.317895,11.745635,0.271388,23.530511,171.557480,0.174390,0.019388
43,0.096979,0.315131,11.783965,0.290775,23.592337,178.147720,0.186911,0.023248
44,0.096926,0.316109,11.826512,0.265407,23.417290,175.361649,0.176580,0.024688
45,0.096825,0.312356,11.959299,0.276458,23.620433,161.727295,0.164256,0.021416
46,0.096863,0.312189,11.827650,0.294107,23.383862,179.520660,0.187000,0.022164
47,0.096994,0.319631,11.716644,0.269846,23.842845,177.543137,0.187922,0.027081
48,0.096880,0.311670,11.938645,0.293301,23.847008,165.134430,0.164700,0.022152
49,0.096895,0.309164,12.036396,0.288385,23.340921,165.196198,0.166764,0.020928
50,0.096890,0.312907,11.849968,0.292451,23.519631,171.364655,0.172902,0.020407
test,,0.107242,20.805960,0.586975,15.043584,50.053642,0.039814,0.011075
