Epoch,Train_L1,Val_L1,PSNR,SSIM,LPIPS,FID,KID_Mean,KID_Std
1,0.440333,0.552468,9.711875,0.165454,47.010727,500.308685,0.644229,0.027785
2,0.416939,0.645386,7.951509,0.137098,49.763724,398.180969,0.423362,0.025331
3,0.410099,0.598038,8.612282,0.152136,49.953651,442.113129,0.523379,0.024053
4,0.406107,0.567676,9.237008,0.167023,48.923969,391.530701,0.425488,0.014418
5,0.402187,0.709126,7.106499,0.130606,50.548184,423.122284,0.422056,0.032086
6,0.397255,0.638291,8.027222,0.142723,48.232845,362.106171,0.363003,0.017959
7,0.394709,0.579938,9.137732,0.154350,47.263093,365.582367,0.375099,0.012114
8,0.392319,0.564432,9.189374,0.158912,51.942679,420.336182,0.489140,0.017484
9,0.387996,0.624712,8.321505,0.139869,44.900917,335.298737,0.332619,0.017854
10,0.382871,0.590673,8.914161,0.184504,46.984426,382.915222,0.404718,0.015907
11,0.380802,0.606259,8.466561,0.178526,51.111447,348.899994,0.346115,0.015761
12,0.375520,0.644366,7.895782,0.159155,49.409473,393.680817,0.408189,0.023040
13,0.372952,0.613838,8.603282,0.155882,47.268331,319.489258,0.305093,0.013983
14,0.367756,0.616888,8.521142,0.168227,44.667279,331.213196,0.328015,0.016358
15,0.363219,0.640533,8.197003,0.096615,47.670962,369.921539,0.408294,0.018755
16,0.358367,0.604508,8.580162,0.185104,48.779365,334.326508,0.331676,0.014374
17,0.354557,0.660090,7.659070,0.152120,51.174635,437.466217,0.486654,0.024403
18,0.348797,0.608873,8.620328,0.169894,45.992413,377.900238,0.415918,0.024563
19,0.346861,0.606442,8.642360,0.191949,48.920571,315.497559,0.329420,0.015794
20,0.341833,0.630390,8.215271,0.157495,48.624745,397.255310,0.446211,0.019021
21,0.339729,0.651289,8.000073,0.180242,48.584304,320.747253,0.304248,0.015509
22,0.335942,0.665143,7.642180,0.172431,49.497245,329.308929,0.299384,0.018062
23,0.332232,0.637938,8.170300,0.169403,43.682945,303.887817,0.278658,0.018179
24,0.330286,0.614513,8.205900,0.185920,45.779040,301.296448,0.275387,0.019402
25,0.327491,0.631534,8.135757,0.147515,43.738480,389.389069,0.421702,0.019943
26,0.326168,0.632071,8.330891,0.155614,44.145174,310.281281,0.292912,0.013785
27,0.325269,0.631400,8.132135,0.141852,45.223047,324.087524,0.314440,0.019113
28,0.322045,0.630650,8.168579,0.185765,48.644870,291.592834,0.250880,0.013985
29,0.321845,0.614409,8.593465,0.205675,49.069644,301.745117,0.271157,0.013312
30,0.320009,0.628840,8.169235,0.180180,47.413184,311.071198,0.288501,0.015350
31,0.315930,0.613619,8.276311,0.196900,48.396871,309.070312,0.301112,0.018934
32,0.316986,0.604169,8.527615,0.193394,48.635020,288.868866,0.255595,0.014545
33,0.316994,0.607350,8.550766,0.197165,46.732387,336.719086,0.331427,0.019162
34,0.311938,0.602053,8.912984,0.209705,49.053369,256.920746,0.221843,0.010754
35,0.312666,0.609293,8.520205,0.193519,46.645238,307.221527,0.281918,0.016420
36,0.308763,0.641656,7.998271,0.187143,45.700260,287.365387,0.258216,0.020055
37,0.308761,0.640907,8.162045,0.191002,46.063170,308.526215,0.289412,0.017317
38,0.309560,0.606840,8.511368,0.185184,44.738872,307.325012,0.272139,0.013859
39,0.306866,0.592935,8.772218,0.120419,46.714961,442.138489,0.514480,0.021204
40,0.310094,0.628787,8.094901,0.197333,47.316889,348.675079,0.338130,0.022091
41,0.305082,0.642861,7.989197,0.176560,44.752931,299.239624,0.273019,0.019725
42,0.305032,0.603497,8.695538,0.171040,49.148496,378.395813,0.395001,0.019711
43,0.303445,0.619558,8.442627,0.185050,44.167929,272.631226,0.233996,0.014074
44,0.302862,0.582728,9.118734,0.197517,46.476293,294.879974,0.274313,0.013920
45,0.302838,0.617963,8.550144,0.202449,51.094745,300.111237,0.267767,0.012561
46,0.299435,0.604170,8.419361,0.200152,42.265452,268.177277,0.218799,0.017584
47,0.300629,0.606913,8.713254,0.211873,45.166495,280.907013,0.253556,0.014798
48,0.298334,0.603009,8.512353,0.213769,47.282392,296.820923,0.253143,0.017081
49,0.301703,0.609903,8.606050,0.196278,49.773694,455.519989,0.539572,0.031953
50,0.296755,0.624217,8.311103,0.190821,49.869728,311.801910,0.288522,0.018517
test,,0.527381,10.183577,0.171493,47.276462,458.340149,0.582977,0.030339
