epoch,train_l1,val_l1
1,0.4549662882884817,0.4545776035104479
2,0.42641063585673294,0.3935324251651764
3,0.4187004972047363,0.39039803402764456
4,0.4160785018740984,0.4400069575224604
5,0.4111646002712102,0.4593843551618712
6,0.4075501743369048,0.4352660019482885
7,0.40440329801936886,0.4576395483953612
8,0.40141335375575954,0.4042992517352104
9,0.39828377483748767,0.4743044748902321
10,0.3948599084315377,0.437541375202792
11,0.38993844606465994,0.4501026985900743
12,0.38757151333330075,0.39651063829660416
13,0.38696951134670626,0.44293882697820663
14,0.3822274814676571,0.4187489130667278
15,0.3767431213821663,0.4033155622226851
16,0.37448019411430394,0.43254172056913376
17,0.3709679693693629,0.5202741250395775
18,0.3690263215649902,0.42852100410631727
19,0.3644838449747666,0.4163088798522949
20,0.3623933816609317,0.4415247695786612
21,0.35925728681720814,0.4801083111337253
22,0.3554184053485915,0.45832013870988575
23,0.35351833049707143,0.45618304929562975
24,0.35097512197217606,0.4629314424736159
25,0.3487994629332819,0.44626123777457644
26,0.3448258119281947,0.4812210851481983
27,0.34239819453293685,0.43999037572315763
28,0.3407421919332508,0.4491561587367739
29,0.3365717105935769,0.4377651097519057
30,0.33601857024228876,0.44058973448617117
31,0.33145885591069596,0.45747258407729013
32,0.3293136556750966,0.5033826231956482
33,0.326696592899502,0.5478914071406636
34,0.32700234241539555,0.5498807579278946
35,0.324026183571895,0.4484314652425902
36,0.32075977942253453,0.4633247181773186
37,0.3174074433207015,0.4587143010326794
38,0.3150181655038177,0.4504617622920445
39,0.3131394794364995,0.5134268871375492
40,0.31060934608148777,0.4885642485959189
41,0.30931720789910216,0.4727784991264343
42,0.3089407681531321,0.467394939490727
43,0.30744393825744004,0.5080241954752377
44,0.3071429856196978,0.46254859758274897
45,0.3058021244298425,0.45889698288270403
46,0.30489360967550055,0.4781366160937718
47,0.30132518908393885,0.4716694237930434
48,0.30126199482131955,0.47651356777974535
49,0.3012995765660404,0.5045969656535557
50,0.29998668175392595,0.4907566234469414
