Epoch,Train_L1,Val_L1,PSNR,SSIM,LPIPS,FID,KID_Mean,KID_Std
1,0.454966,0.454578,11.025668,0.145559,62.669612,388.236053,0.459161,0.020006
2,0.426411,0.393532,12.179509,0.202389,52.233589,369.669067,0.451063,0.018555
3,0.418700,0.390398,12.253306,0.186854,53.991065,375.765839,0.432084,0.016311
4,0.416079,0.440007,11.284940,0.182122,53.625673,319.045807,0.329063,0.012631
5,0.411165,0.459384,10.827586,0.178060,53.570656,283.818451,0.275593,0.013519
6,0.407550,0.435266,11.343763,0.148398,53.450659,353.515076,0.398566,0.015603
7,0.404403,0.457640,10.943656,0.169065,53.939454,298.187622,0.297029,0.010723
8,0.401413,0.404299,11.922365,0.174362,51.705931,307.727020,0.324086,0.012734
9,0.398284,0.474304,10.599751,0.175747,55.882719,305.000763,0.323962,0.016379
10,0.394860,0.437541,11.266368,0.201338,52.930902,246.368454,0.229957,0.009660
11,0.389938,0.450103,10.998094,0.179071,53.671695,293.417633,0.296146,0.012105
12,0.387572,0.396511,12.081967,0.172644,54.675721,292.433075,0.309900,0.009470
13,0.386970,0.442939,11.137152,0.140926,57.625549,391.654694,0.464113,0.022235
14,0.382227,0.418749,11.641523,0.188132,51.265974,281.176941,0.280229,0.012010
15,0.376743,0.403316,11.935353,0.152915,59.540492,398.205933,0.480028,0.019346
16,0.374480,0.432542,11.317187,0.185869,49.922981,201.853210,0.165964,0.009067
17,0.370968,0.520274,9.862770,0.195912,52.894322,238.920654,0.211320,0.011107
18,0.369026,0.428521,11.460129,0.164893,52.159920,269.658783,0.265201,0.010717
19,0.364484,0.416309,11.655513,0.201159,51.226309,233.509750,0.205216,0.010164
20,0.362393,0.441525,11.220751,0.116677,62.787254,335.714813,0.348754,0.013328
21,0.359257,0.480108,10.477240,0.182049,52.029933,259.129120,0.227887,0.011454
22,0.355418,0.458320,10.881420,0.172810,56.225090,333.124115,0.360925,0.013809
23,0.353518,0.456183,10.958486,0.150238,52.615264,372.843201,0.429583,0.021684
24,0.350975,0.462931,10.794832,0.206900,51.712464,253.074615,0.237865,0.012038
25,0.348799,0.446261,11.103271,0.192751,52.993263,334.590942,0.375660,0.013704
26,0.344826,0.481221,10.530847,0.181789,53.261228,374.147003,0.447816,0.020960
27,0.342398,0.439990,11.250579,0.161555,52.760890,386.682983,0.468783,0.016350
28,0.340742,0.449156,11.067951,0.144364,53.150746,416.636536,0.535577,0.020127
29,0.336572,0.437765,11.309130,0.192989,49.364255,325.203033,0.354757,0.023023
30,0.336019,0.440590,11.253326,0.180824,51.409097,274.641418,0.273696,0.011440
31,0.331459,0.457473,10.929546,0.156216,54.731999,385.505676,0.460702,0.018365
32,0.329314,0.503383,10.199034,0.191292,52.850094,305.672668,0.327697,0.016641
33,0.326697,0.547891,9.555096,0.148139,52.766001,371.641968,0.424014,0.016176
34,0.327002,0.549881,9.531731,0.159852,51.724016,428.785034,0.564736,0.024467
35,0.324026,0.448431,11.119342,0.239095,52.083274,279.219421,0.281916,0.013251
36,0.320760,0.463325,10.796675,0.215524,52.519133,324.398346,0.366606,0.019667
37,0.317407,0.458714,10.900993,0.191773,54.640438,323.730469,0.345534,0.016476
38,0.315018,0.450462,11.050729,0.228940,52.207062,223.572891,0.180758,0.015282
39,0.313139,0.513427,10.004993,0.150281,57.441728,354.737885,0.383359,0.016864
40,0.310609,0.488564,10.401225,0.227673,51.939168,230.766434,0.206379,0.015596
41,0.309317,0.472778,10.666490,0.178138,51.770444,316.410431,0.314099,0.016653
42,0.308941,0.467395,10.753767,0.179008,58.333752,351.951599,0.403187,0.015619
43,0.307444,0.508024,10.093202,0.203509,57.624285,322.918274,0.350413,0.013757
44,0.307143,0.462549,10.841370,0.198102,52.019137,265.633118,0.249988,0.019796
45,0.305802,0.458897,10.895828,0.206833,52.443113,303.523621,0.312135,0.021123
46,0.304894,0.478137,10.570516,0.213054,52.122338,269.732269,0.240727,0.016727
47,0.301325,0.471669,10.665051,0.233343,51.172380,193.213730,0.145924,0.014157
48,0.301262,0.476514,10.593844,0.200146,53.031089,254.426392,0.230369,0.013360
49,0.301300,0.504597,10.148141,0.206922,50.710884,230.494797,0.197404,0.014255
50,0.299987,0.490757,10.361273,0.152013,57.838378,398.594574,0.463416,0.019420
test,,0.514147,10.299729,0.198025,45.610386,371.246887,0.403884,0.016311
