Epoch,Train_L1,Val_L1,PSNR,SSIM,LPIPS,FID,KID_Mean,KID_Std
1,0.465949,0.412854,11.838813,0.147918,45.076390,312.451721,0.334456,0.017619
2,0.439315,0.385060,12.375196,0.195934,42.456202,337.607086,0.403651,0.020517
3,0.430465,0.413892,11.760711,0.196257,47.635772,419.344849,0.551884,0.020460
4,0.421432,0.380479,12.498472,0.201583,45.239271,368.507477,0.448211,0.017120
5,0.416148,0.424936,11.716130,0.173744,43.698665,343.829926,0.412488,0.014351
6,0.411832,0.428261,11.695756,0.188026,42.808601,392.388214,0.490804,0.018802
7,0.407832,0.413538,11.927598,0.152787,46.488853,456.350006,0.598709,0.025115
8,0.403968,0.398654,12.245937,0.181458,42.070279,358.881714,0.407745,0.017020
9,0.401842,0.436212,11.497242,0.170511,43.460893,353.111908,0.402431,0.016949
10,0.398070,0.455747,11.216049,0.127180,47.270917,422.197144,0.518562,0.018962
11,0.392706,0.432387,11.607175,0.193631,44.112690,372.490997,0.448152,0.017899
12,0.390644,0.416230,11.901560,0.208019,42.906626,313.217590,0.353173,0.015150
13,0.387175,0.475227,10.898880,0.177515,46.446715,456.724915,0.608593,0.024810
14,0.384087,0.469844,10.999484,0.192216,41.207666,308.125519,0.346915,0.015899
15,0.381190,0.439331,11.469728,0.196626,39.339909,296.332306,0.347131,0.012989
16,0.379740,0.467003,10.998309,0.222468,41.790940,248.605652,0.257444,0.015640
17,0.375717,0.436314,11.293435,0.195843,43.165841,253.633682,0.255017,0.012717
18,0.372518,0.483022,10.779309,0.175012,40.174312,295.411133,0.313528,0.017653
19,0.371550,0.495044,10.598133,0.202853,42.373057,213.404343,0.201316,0.011515
20,0.367694,0.474166,10.836663,0.132352,47.364726,419.233337,0.516142,0.024563
21,0.366865,0.494938,10.491027,0.174020,45.755876,404.469757,0.519144,0.021372
22,0.362731,0.513337,10.230145,0.129749,42.940027,405.846710,0.468365,0.021083
23,0.358531,0.499088,10.457847,0.184645,43.048934,354.891693,0.405552,0.021853
24,0.355879,0.492166,10.585284,0.129261,44.070764,394.474487,0.474714,0.019013
25,0.353829,0.516237,10.179749,0.153663,42.692426,252.840363,0.252890,0.015491
26,0.348889,0.516701,10.207426,0.138669,43.324925,302.275909,0.328930,0.012882
27,0.346862,0.513091,10.264924,0.212843,40.179933,185.015228,0.147147,0.009343
28,0.342259,0.498033,10.535600,0.224236,43.234875,212.105591,0.200414,0.012417
29,0.340491,0.513275,10.283487,0.215060,43.158153,260.793640,0.263478,0.016788
30,0.338545,0.484305,10.618417,0.224243,42.182688,219.801392,0.206610,0.012136
31,0.336785,0.537038,9.888920,0.103207,48.375129,537.632385,0.746188,0.024332
32,0.335243,0.521407,10.174688,0.196670,41.517725,179.850174,0.154041,0.009165
33,0.332002,0.510569,10.309706,0.184223,41.724268,332.810303,0.380647,0.017404
34,0.327463,0.525350,10.085113,0.207730,41.503247,203.594238,0.186951,0.009922
35,0.329218,0.525833,10.055471,0.156045,41.726045,283.746552,0.310880,0.014709
36,0.328122,0.546825,9.792247,0.179887,43.607523,260.469543,0.264897,0.012267
37,0.323888,0.535273,9.956318,0.172032,40.613927,238.129089,0.221848,0.011171
38,0.324051,0.551600,9.643002,0.205800,45.640096,347.354462,0.407788,0.018929
39,0.323083,0.527868,10.122952,0.229279,41.534720,207.363617,0.191753,0.013844
40,0.320864,0.513290,10.270617,0.225391,43.557410,208.887177,0.192879,0.011227
41,0.318656,0.540591,9.883457,0.200732,43.675781,239.954361,0.231047,0.012723
42,0.317340,0.573390,9.383854,0.130054,43.225879,283.392487,0.283433,0.013567
43,0.317908,0.547478,9.762570,0.206495,44.286236,212.603165,0.194008,0.011580
44,0.316118,0.531742,9.985208,0.192556,44.398473,288.625427,0.294393,0.011471
45,0.313877,0.525053,10.028554,0.182152,44.172388,333.235535,0.377055,0.017086
46,0.315405,0.513192,10.258325,0.235471,44.131787,286.220001,0.304088,0.015717
47,0.314205,0.548520,9.772865,0.213802,44.705397,213.049606,0.194591,0.010875
48,0.313313,0.494030,10.509227,0.202645,39.991516,303.559448,0.320246,0.018090
49,0.310741,0.532208,10.018203,0.214650,42.241217,239.093964,0.248753,0.013682
50,0.310758,0.526973,10.072624,0.167843,40.541442,390.755341,0.478917,0.021243
test,,0.451612,11.287026,0.192945,46.781091,359.214386,0.398502,0.014360
