,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,432.0013576446851,496.8759806535989,385.32037662963523,597.0701018560087,593.9641620306252,638.1840944828098,203.45238185393254,339.325022843311,715.7046310742252
OPT-QXSLAB,432.0013576446851,0.0,537.9903055717068,467.203411459413,639.1326782991961,655.9606179501783,713.625118985611,456.06978333735526,386.1302978229446,599.541553594344
HE,496.8759806535989,537.9903055717068,0.0,375.54567152342895,657.7724045951405,646.1526597753929,704.8659772701825,532.028944905198,445.4244438411807,696.3061109596827
IHC,385.32037662963523,467.203411459413,375.54567152342895,0.0,678.9118329304197,670.8169057333005,730.5186249186717,381.9678212407047,353.44947998112934,697.9048049615704
CT,597.0701018560087,639.1326782991961,657.7724045951405,678.9118329304197,0.0,373.625597003349,397.57926229041027,654.2917168607469,621.0823486375231,721.1393818779565
T1,593.9641620306252,655.9606179501783,646.1526597753929,670.8169057333005,373.625597003349,0.0,263.8835116569957,651.3290451632542,609.1774543519577,731.7149658726304
T2,638.1840944828098,713.625118985611,704.8659772701825,730.5186249186717,397.57926229041027,263.8835116569957,0.0,718.0068899560736,671.9191298070757,773.9682709020443
SAR-SEN12,203.45238185393254,456.06978333735526,532.028944905198,381.9678212407047,654.2917168607469,651.3290451632542,718.0068899560736,0.0,301.3449956720606,748.1043730434544
OPT-SEN12,339.325022843311,386.1302978229446,445.4244438411807,353.44947998112934,621.0823486375231,609.1774543519577,671.9191298070757,301.3449956720606,0.0,630.0588885076683
ImageNet-1k,715.7046310742252,599.541553594344,696.3061109596827,697.9048049615704,721.1393818779565,731.7149658726304,773.9682709020443,748.1043730434544,630.0588885076683,0.0
