Epoch,Train_L1,Val_L1,PSNR,SSIM,LPIPS,FID,KID_Mean,KID_Std
1,0.159295,0.084290,23.937670,0.583468,18.072375,191.495071,0.272835,0.028406
2,0.136035,0.085790,23.759373,0.574563,17.493860,163.764038,0.223370,0.025647
3,0.133883,0.087957,23.436039,0.567937,17.354437,134.351379,0.181286,0.019975
4,0.131982,0.087362,23.559269,0.575934,16.989713,110.911461,0.152704,0.017981
5,0.130547,0.092173,23.029234,0.541930,18.130108,116.287766,0.158576,0.020842
6,0.129717,0.084201,23.887203,0.594561,17.150392,117.950218,0.159906,0.019381
7,0.129834,0.084176,23.777182,0.589735,17.077544,82.661011,0.106259,0.017751
8,0.129398,0.083493,23.780828,0.597209,17.136188,93.975060,0.122882,0.019946
9,0.128950,0.096421,22.432514,0.544123,17.446553,84.308754,0.102396,0.015460
10,0.128824,0.085301,23.413784,0.589606,15.790173,38.215641,0.035259,0.008045
11,0.128690,0.084418,23.817120,0.597586,16.880846,50.557850,0.056411,0.017000
12,0.128235,0.089055,23.177689,0.563787,16.720949,59.553654,0.063012,0.014086
13,0.128019,0.087437,23.505623,0.576100,16.856216,64.902512,0.076739,0.014286
14,0.127759,0.095466,22.604286,0.538908,16.867084,42.701538,0.040580,0.006186
15,0.127491,0.086546,23.571089,0.578260,16.703974,46.043003,0.046683,0.009564
16,0.127110,0.086088,23.476727,0.588891,16.628277,58.899776,0.067392,0.015118
17,0.126893,0.097482,22.277874,0.543001,16.686272,49.762608,0.049135,0.011593
18,0.126509,0.091666,23.166687,0.563955,16.448618,55.457321,0.060246,0.013634
19,0.126765,0.094755,22.996265,0.562215,16.980264,57.860882,0.063859,0.015820
20,0.126276,0.093992,22.872175,0.557109,16.601558,57.267761,0.063368,0.014720
21,0.126100,0.092966,22.728407,0.562627,17.319479,59.712513,0.064084,0.012119
22,0.125834,0.095088,22.406162,0.547215,16.365484,93.032135,0.115172,0.022771
23,0.125401,0.089020,23.483782,0.570437,16.529056,75.143074,0.087728,0.020419
24,0.125601,0.095465,22.664158,0.541316,16.867812,63.189301,0.068057,0.017666
25,0.125479,0.094054,22.890316,0.532080,16.250603,55.433266,0.062590,0.016424
26,0.125866,0.093326,22.548956,0.562951,16.952893,79.886574,0.102237,0.023554
27,0.125109,0.089161,23.235664,0.570074,16.094936,93.817444,0.121729,0.021299
28,0.125693,0.093807,23.042931,0.552963,16.536879,84.773132,0.105044,0.024490
29,0.125421,0.089314,23.349800,0.570086,16.157717,87.227615,0.105081,0.024145
30,0.125094,0.087848,23.528297,0.571270,16.032790,70.061577,0.080850,0.018201
31,0.125234,0.089969,22.932987,0.565982,16.465510,82.965042,0.101455,0.018911
32,0.125246,0.092539,23.047253,0.551004,16.456370,81.208687,0.096456,0.024917
33,0.124971,0.092288,23.112696,0.561295,16.641515,65.723106,0.072094,0.014617
34,0.124859,0.092234,23.047628,0.543520,15.942740,84.646011,0.101333,0.021976
35,0.124804,0.090539,23.062874,0.572341,16.927561,76.560616,0.092474,0.020701
36,0.125146,0.093285,22.974192,0.551730,16.831727,67.757378,0.079024,0.021113
37,0.124626,0.092122,23.108875,0.555607,16.939687,84.275009,0.100682,0.022372
38,0.124843,0.088057,23.241777,0.579197,16.467749,72.775795,0.088157,0.021301
39,0.124439,0.093315,22.655022,0.551496,16.581182,71.541985,0.088867,0.020116
40,0.124698,0.090632,23.141806,0.567767,16.437417,89.527306,0.112755,0.022277
41,0.124592,0.097657,22.038273,0.548087,16.873680,116.394936,0.149325,0.024711
42,0.124980,0.092866,22.878418,0.555372,16.691371,80.364807,0.094735,0.023481
43,0.124116,0.092111,22.798206,0.562028,16.846872,78.274033,0.093234,0.022669
44,0.124776,0.091639,23.082056,0.555101,16.646315,79.796722,0.095089,0.017327
45,0.124438,0.095413,22.766064,0.526728,16.813031,81.653374,0.091048,0.021056
46,0.124237,0.091582,23.207565,0.577275,17.079421,96.595879,0.121587,0.025422
47,0.124259,0.090351,23.243773,0.558842,16.598429,78.418694,0.092111,0.020912
48,0.124210,0.089537,23.143877,0.579420,16.774430,90.559479,0.115473,0.024355
49,0.124383,0.093880,22.652256,0.551148,16.839366,89.547668,0.116241,0.018788
50,0.124089,0.092534,23.014965,0.554427,16.606801,88.466347,0.103359,0.020884
test,,0.116642,19.868130,0.550078,16.281249,68.256645,0.067285,0.012028
