epoch,train_l1,val_l1
1,0.4469325863461192,0.49344135767647196
2,0.42379046840074963,0.4941541307738849
3,0.41614860288039385,0.5151891830776419
4,0.41185781779409114,0.5140247318361487
5,0.40811650570964353,0.5120415256491729
6,0.40897650850459566,0.5266937943441528
7,0.406348880216192,0.5295136746551309
8,0.4042091958594224,0.49438547821981565
9,0.40202474537672417,0.5408384432750089
10,0.403145574228248,0.5331144258379936
11,0.40060629519138785,0.504191662051848
12,0.3984382477263117,0.5131210248385157
13,0.3973548532394338,0.511254292513643
14,0.3955785316869247,0.5404114175055709
15,0.3926329482192836,0.5121971847755569
16,0.3894063324947167,0.5446241199970245
17,0.38572321379603436,0.5625197019960199
18,0.38363595858996236,0.4857564371611391
19,0.3809331863933851,0.48642794734665323
20,0.3775151084708281,0.5657884659511703
21,0.37378035042404145,0.5053164847195148
22,0.3716730224507407,0.5172742498772485
23,0.3663171502984752,0.55697944813541
24,0.36206084902375196,0.5497802325657436
25,0.35863916246482164,0.5445352920464107
26,0.3548964783138808,0.5554727864052568
27,0.3497149988536828,0.5245836611304965
28,0.3481671936071116,0.5097474759178502
29,0.3460807845448003,0.48012293076940943
30,0.34275734329149743,0.5499628431030682
31,0.3414123479492408,0.5165480529623372
32,0.33637856713626996,0.5274989141949585
33,0.3320784987496936,0.5835985514734473
34,0.33097309807505326,0.5868588728564126
35,0.32866621083136105,0.5917830440614905
36,0.32656937914569517,0.5697331391274929
37,0.32320598219380237,0.5732719461832728
38,0.3230112718608097,0.4945292291896684
39,0.3195163603851536,0.5530785966132369
40,0.3162890386359751,0.5150037104529994
41,0.31497971593471596,0.5494069685893399
42,0.31408213401731544,0.4852677413395473
43,0.31257171446544735,0.540518009769065
44,0.3131559783433751,0.5336585768631527
45,0.30994215116582136,0.5712359249591827
46,0.3070988339415595,0.5786156430840492
47,0.30664840600255766,0.4948606299502509
48,0.3059776110815772,0.5518840636525836
49,0.30518081815035875,0.5408681689628533
50,0.3049850566902765,0.5311890936323574
